,arrival_hydrophone,init_arrival_time,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time
137,h3,18037.32047650463,137,105.25,"[18037.320476493056, 18037.320476493056, 18037.320476493056, 18037.320476886576, 18037.320477349538, 18037.320478125]",2,3,18037.320476493056
138,h3,18037.320713125002,138,106.125,"[18037.320713090277, 18037.320713090277, 18037.320713090277, 18037.32071347222, 18037.32071392361, 18037.320714710648]",2,3,18037.320713090277
139,h3,18037.32073207176,139,520.875,"[18037.320730428244, 18037.320729930558, 18037.320732060187, 18037.32073243056, 18037.320732939817, 18037.3207303588]",5,2,18037.3207303588
140,h3,18037.320747256945,140,107.0,"[18037.32074724537, 18037.32074724537, 18037.32074724537, 18037.32074761574, 18037.320748090275, 18037.32074887731]",2,3,18037.32074724537
141,h3,18037.320763101852,141,105.25,"[18037.320763078707, 18037.320763078707, 18037.32076306713, 18037.32076346065, 18037.320763923613, 18037.320764699078]",2,3,18037.32076306713
142,h3,18037.320772002317,142,107.0,"[18037.32077199074, 18037.320771967592, 18037.32077199074, 18037.320772361112, 18037.320772812498, 18037.32077359954]",2,3,18037.32077199074
143,h3,18037.3207809375,143,105.25,"[18037.320780902777, 18037.32077898148, 18037.32078087963, 18037.32078127315, 18037.32078173611, 18037.320782511575]",2,3,18037.32078087963
144,h3,18037.320789131943,144,107.0,"[18037.320787916666, 18037.320788078705, 18037.32078912037, 18037.320789490743, 18037.32079009259, 18037.3207896875]",2,3,18037.32078912037
145,h3,18037.32079636574,145,468.375,"[18037.320796342592, 18037.320796134256, 18037.320796342592, 18037.320796701388, 18037.320797187498, 18037.32079487268]",5,2,18037.32079487268
146,h3,18037.320803993054,146,107.0,"[18037.320803958333, 18037.320802488426, 18037.320803958333, 18037.320804328705, 18037.32080480324, 18037.32080556713]",2,3,18037.320803958333
147,h3,18037.32081105324,147,344.125,"[18037.320809675926, 18037.32080943287, 18037.32081101852, 18037.32081138889, 18037.320810983798, 18037.320810069446]",5,4,18037.320810069446
148,h3,18037.32082824074,148,208.5,"[18037.320827037038, 18037.32082721065, 18037.320828217595, 18037.320828587963, 18037.32082908565, 18037.32082789352]",5,2,18037.32082789352
149,h3,18037.320962337963,149,107.875,"[18037.32096232639, 18037.320962337963, 18037.32096226852, 18037.320962627316, 18037.320963101854, 18037.320963831018]",2,3,18037.32096226852
150,h3,18037.320978738426,150,107.875,"[18037.3209787037, 18037.3209787037, 18037.3209787037, 18037.320979062497, 18037.320979513886, 18037.320980023145]",2,3,18037.3209787037
151,h3,18037.320987557872,151,64.125,"[18037.320985486112, 18037.320985925926, 18037.320987395833, 18037.32098773148, 18037.32098840278, 18037.32098770833]",2,5,18037.320987395833
152,h3,18037.32105502315,152,192.75,"[18037.32105341435, 18037.321054988424, 18037.321054988424, 18037.32105534722, 18037.321055821758, 18037.321054733795]",5,2,18037.321054733795
153,h3,18037.321104282408,153,106.125,"[18037.321104247687, 18037.321104247687, 18037.32110422454, 18037.321104606483, 18037.321105069448, 18037.321105856485]",2,3,18037.32110422454
154,h3,18037.321121307872,154,108.75,"[18037.32112122685, 18037.321121261575, 18037.32112122685, 18037.321121574074, 18037.321122025463, 18037.321122800924]",2,3,18037.32112122685
155,h3,18037.321126712963,155,107.0,"[18037.321126678242, 18037.32112670139, 18037.32112666667, 18037.321127037038, 18037.321127500003, 18037.32112826389]",2,3,18037.32112666667
156,h3,18037.32113207176,156,108.75,"[18037.32113203704, 18037.32113203704, 18037.32113203704, 18037.321132384262, 18037.3211328588, 18037.32113362269]",2,3,18037.32113203704
