,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time,first_arrival,second_arrival,dt
58,58,170.875,"[18037.318966655093, 18037.318966655093, 18037.318966655093, 18037.318967106483, 18037.318967557872, 18037.31896835648]",2,3,18037.318966655093,2019-05-21 07:39:18.719000+00:00,2019-05-21 07:39:18.758000+00:00,-0.039
59,59,170.875,"[18037.318975983795, 18037.318975983795, 18037.318975983795, 18037.318976435185, 18037.318976886574, 18037.318977685183]",2,3,18037.318975983795,2019-05-21 07:39:19.525000+00:00,2019-05-21 07:39:19.564000+00:00,-0.039
60,60,456.125,"[18037.31898236111, 18037.318982083332, 18037.31898298611, 18037.3189834375, 18037.318982893517, 18037.31898142361]",5,4,18037.31898142361,2019-05-21 07:39:19.995000+00:00,2019-05-21 07:39:20.122000+00:00,-0.127
61,61,373.875,"[18037.31900447917, 18037.319003333334, 18037.319005011577, 18037.319005462963, 18037.319004409725, 18037.31900402778]",5,4,18037.31900402778,2019-05-21 07:39:21.948000+00:00,2019-05-21 07:39:21.981000+00:00,-0.033
62,62,170.875,"[18037.319012627315, 18037.319012627315, 18037.319012627315, 18037.319013078704, 18037.319013553242, 18037.319014328703]",2,3,18037.319012627315,2019-05-21 07:39:22.691000+00:00,2019-05-21 07:39:22.730000+00:00,-0.039
63,63,170.875,"[18037.319020532406, 18037.319020532406, 18037.319020532406, 18037.319020983796, 18037.31902148148, 18037.319022233794]",2,3,18037.319020532406,2019-05-21 07:39:23.374000+00:00,2019-05-21 07:39:23.413000+00:00,-0.039
64,64,653.875,"[18037.31902797454, 18037.319027083333, 18037.319027708334, 18037.319028182872, 18037.31902806713, 18037.319025729168]",5,2,18037.319025729168,2019-05-21 07:39:23.823000+00:00,2019-05-21 07:39:23.994000+00:00,-0.171
65,65,171.75,"[18037.319268935185, 18037.319268993055, 18037.31926900463, 18037.319269444444, 18037.319269918982, 18037.319270694443]",2,3,18037.31926900463,2019-05-21 07:39:44.842000+00:00,2019-05-21 07:39:44.880000+00:00,-0.038
66,66,170.875,"[18037.31927666667, 18037.31927666667, 18037.31927666667, 18037.319277118055, 18037.319277569444, 18037.319278368057]",2,3,18037.31927666667,2019-05-21 07:39:45.504000+00:00,2019-05-21 07:39:45.543000+00:00,-0.039
67,67,392.25,"[18037.319279560186, 18037.319279560186, 18037.319279560186, 18037.319279143518, 18037.319279189815, 18037.319278368053]",5,3,18037.319278368053,2019-05-21 07:39:45.651000+00:00,2019-05-21 07:39:45.718000+00:00,-0.067
68,68,170.875,"[18037.319286053244, 18037.319286053244, 18037.319286053244, 18037.31928650463, 18037.319286979167, 18037.31928775463]",2,3,18037.319286053244,2019-05-21 07:39:46.315000+00:00,2019-05-21 07:39:46.354000+00:00,-0.039
69,69,199.75,"[18037.31928715278, 18037.31928715278, 18037.319287233797, 18037.319287303242, 18037.319288171297, 18037.319287743056]",2,3,18037.319287233797,2019-05-21 07:39:46.417000+00:00,2019-05-21 07:39:46.423000+00:00,-0.006
70,70,170.875,"[18037.31929538195, 18037.31929430556, 18037.31929538195, 18037.319295833335, 18037.319296307873, 18037.31929681713]",2,3,18037.31929538195,2019-05-21 07:39:47.121000+00:00,2019-05-21 07:39:47.160000+00:00,-0.039
71,71,147.25,"[18037.319301481482, 18037.319301793985, 18037.319301481482, 18037.319301932872, 18037.319301863427, 18037.31930318287]",2,4,18037.319301481482,2019-05-21 07:39:47.648000+00:00,2019-05-21 07:39:47.681000+00:00,-0.033
72,72,559.375,"[18037.319324247685, 18037.31932545139, 18037.319325995373, 18037.319326469908, 18037.319326944445, 18037.319324432872]",5,2,18037.319324432872,2019-05-21 07:39:49.631000+00:00,2019-05-21 07:39:49.766000+00:00,-0.135
73,73,170.875,"[18037.319370370373, 18037.31937053241, 18037.319370127316, 18037.319370578705, 18037.31937107639, 18037.31937180556]",2,3,18037.319370127316,2019-05-21 07:39:53.579000+00:00,2019-05-21 07:39:53.618000+00:00,-0.039
74,74,388.75,"[18037.319398981483, 18037.31939857639, 18037.319398749998, 18037.319399212964, 18037.319397905092, 18037.319397326388]",5,4,18037.319397326388,2019-05-21 07:39:55.929000+00:00,2019-05-21 07:39:55.979000+00:00,-0.05
75,75,210.25,"[18037.319456944446, 18037.319457534722, 18037.31945721065, 18037.31945766204, 18037.31945800926, 18037.319457187503]",5,2,18037.319457187503,2019-05-21 07:40:01.101000+00:00,2019-05-21 07:40:01.103000+00:00,-0.002
76,76,467.5,"[18037.31946300926, 18037.31946221065, 18037.319463298612, 18037.31946383102, 18037.319463298612, 18037.319462141204]",5,2,18037.319462141204,2019-05-21 07:40:01.529000+00:00,2019-05-21 07:40:01.629000+00:00,-0.1
77,77,407.125,"[18037.319576539354, 18037.31957652778, 18037.319576458336, 18037.319576932874, 18037.319577511575, 18037.319575567133]",5,2,18037.319575567133,2019-05-21 07:40:11.329000+00:00,2019-05-21 07:40:11.406000+00:00,-0.077
78,78,170.0,"[18037.319580960648, 18037.319581030093, 18037.319580960648, 18037.31958142361, 18037.319581875, 18037.319582685184]",2,3,18037.319580960648,2019-05-21 07:40:11.795000+00:00,2019-05-21 07:40:11.835000+00:00,-0.04
79,79,367.75,"[18037.319603587963, 18037.319603587963, 18037.319603506945, 18037.319603958334, 18037.319604467593, 18037.319602789354]",5,2,18037.319602789354,2019-05-21 07:40:13.681000+00:00,2019-05-21 07:40:13.743000+00:00,-0.062
80,80,170.875,"[18037.319668680557, 18037.319668680557, 18037.319668680557, 18037.319669131943, 18037.31966959491, 18037.319670393517]",2,3,18037.319668680557,2019-05-21 07:40:19.374000+00:00,2019-05-21 07:40:19.413000+00:00,-0.039
81,81,170.875,"[18037.319675092596, 18037.319675092596, 18037.319675092596, 18037.319675543982, 18037.319676006948, 18037.319676770836]",2,3,18037.319675092596,2019-05-21 07:40:19.928000+00:00,2019-05-21 07:40:19.967000+00:00,-0.039
82,82,462.25,"[18037.31968297454, 18037.31968297454, 18037.319682962963, 18037.319683414353, 18037.319683900463, 18037.319681828703]",5,2,18037.319681828703,2019-05-21 07:40:20.510000+00:00,2019-05-21 07:40:20.608000+00:00,-0.098
83,83,149.0,"[18037.319690162036, 18037.319690162036, 18037.319690162036, 18037.319690636574, 18037.319690532408, 18037.319691099536]",2,4,18037.319690162036,2019-05-21 07:40:21.230000+00:00,2019-05-21 07:40:21.262000+00:00,-0.032
84,84,427.25,"[18037.31969337963, 18037.31969303241, 18037.31969337963, 18037.31969383102, 18037.319691909724, 18037.319694918984]",4,2,18037.319691909724,2019-05-21 07:40:21.381000+00:00,2019-05-21 07:40:21.508000+00:00,-0.127
85,85,236.5,"[18037.31969922454, 18037.319698136576, 18037.319699212963, 18037.319699664353, 18037.31969900463, 18037.31969957176]",4,2,18037.31969900463,2019-05-21 07:40:21.994000+00:00,2019-05-21 07:40:22.012000+00:00,-0.018
86,86,174.375,"[18037.31975613426, 18037.31975613426, 18037.31975616898, 18037.319756574074, 18037.31975704861, 18037.319757824072]",2,3,18037.31975616898,2019-05-21 07:40:26.933000+00:00,2019-05-21 07:40:26.968000+00:00,-0.035
87,87,345.0,"[18037.319776354165, 18037.319777210647, 18037.319777175926, 18037.31977765046, 18037.31977579861, 18037.31977579861]",4,5,18037.31977579861,2019-05-21 07:40:28.629000+00:00,2019-05-21 07:40:28.629000+00:00,0.0
88,88,171.75,"[18037.319788854165, 18037.319788854165, 18037.319788854165, 18037.319789293982, 18037.319789768517, 18037.31979054398]",2,3,18037.319788854165,2019-05-21 07:40:29.757000+00:00,2019-05-21 07:40:29.795000+00:00,-0.038
89,89,171.75,"[18037.319799699075, 18037.319799699075, 18037.319799641202, 18037.31980008102, 18037.319800555553, 18037.319801354166]",2,3,18037.319799641202,2019-05-21 07:40:30.689000+00:00,2019-05-21 07:40:30.727000+00:00,-0.038
90,90,575.125,"[18037.319804537037, 18037.319804675928, 18037.319804618055, 18037.319805057872, 18037.31980564815, 18037.319802986112]",5,2,18037.319802986112,2019-05-21 07:40:30.978000+00:00,2019-05-21 07:40:31.119000+00:00,-0.141
91,91,407.125,"[18037.319810752317, 18037.31981072917, 18037.31981068287, 18037.319811145837, 18037.319810439818, 18037.319809618057]",5,4,18037.319809618057,2019-05-21 07:40:31.551000+00:00,2019-05-21 07:40:31.622000+00:00,-0.071
92,92,198.0,"[18037.31981630787, 18037.31981630787, 18037.319816261574, 18037.319816770832, 18037.31981630787, 18037.319817997683]",2,4,18037.319816261574,2019-05-21 07:40:32.125000+00:00,2019-05-21 07:40:32.129000+00:00,-0.004
93,93,170.875,"[18037.319822002315, 18037.319822002315, 18037.31982189815, 18037.319822349535, 18037.319822824073, 18037.319823564812]",2,3,18037.31982189815,2019-05-21 07:40:32.612000+00:00,2019-05-21 07:40:32.651000+00:00,-0.039
94,94,170.875,"[18037.319827835647, 18037.319827835647, 18037.3198278125, 18037.319828263888, 18037.31982886574, 18037.31982935185]",2,3,18037.3198278125,2019-05-21 07:40:33.123000+00:00,2019-05-21 07:40:33.162000+00:00,-0.039
